IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi3g20070.1|pacid:21826869	1.842416573	291.1378026	0.22418718	8.218206652	2.07E-16	4.48E-15	"GO:0005515,GO:0005247,GO:0006821,GO:0055085,GO:0016020"	Voltage-gated chloride channel family protein	"chloride channel protein, putative, expressed"
bradi3g20110.1|pacid:21829270	1.165828898	9.597940017	0.390739536	2.983647138	0.00284835	0.009530242		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide containing protein, putative, expressed"
bradi3g20120.1|pacid:21829917	-1.129104091	557.9492085	0.117487814	-9.610393242	7.23E-22	2.29E-20	"GO:0009058,GO:0005985"	sucrose phosphate synthase 1F	"sucrose-phosphate synthase, putative, expressed"
bradi3g20150.1|pacid:21828067	1.214388999	33.67346503	0.268997836	4.514493565	6.35E-06	3.98E-05	"GO:0003684,GO:0003906,GO:0008270,GO:0016799,GO:0006284,GO:0006289"	MUTM homolog-1	"formamidopyrimidine-DNA glycosylase, putative, expressed"
bradi3g20920.1|pacid:21831258	-1.556125029	2.009262381	0.523885432	-2.970353693	0.002974571	0.009909069			expressed protein
bradi3g20940.1|pacid:21832050	-1.495864495	36.3178045	0.256868051	-5.823474307	5.76E-09	5.86E-08	"GO:0003755,GO:0006457"	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	"peptidyl-prolyl cis-trans isomerase, putative, expressed"
bradi3g21020.1|pacid:21830454	-1.120313326	23.53372725	0.24269897	-4.616061308	3.91E-06	2.56E-05	"GO:0016758,GO:0008152"	UDP-glucosyl transferase 72B3	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi3g21110.1|pacid:21832567	1.294556756	10.0277908	0.416092285	3.111225086	0.001863129	0.00658507	GO:0005515	Galactose oxidase/kelch repeat superfamily protein	"OsFBX368 - F-box domain containing protein, expressed"
bradi3g21190.1|pacid:21831377	-1.35330916	43.33858783	0.305420986	-4.430963232	9.38E-06	5.71E-05	"GO:0043531,GO:0006915,GO:0005524"	NB-ARC domain-containing disease resistance protein	expressed protein
bradi3g21273.1|pacid:21827145	-1.034837114	24.40488324	0.306769607	-3.373336499	0.000742631	0.002943895			expressed protein
bradi3g21276.1|pacid:21831977	-1.120401966	90.21976437	0.139586644	-8.026569959	1.00E-15	2.05E-14	"GO:0003723,GO:0003964,GO:0006278"	DNA/RNA polymerases superfamily protein	expressed protein
bradi3g21310.1|pacid:21833182	1.340522717	258.4756807	0.158984786	8.431767267	3.40E-17	7.88E-16	"GO:0005525,GO:0007264,GO:0005622"	MIRO-related GTP-ase 1	"ATP/GTP/Ca++ binding protein, putative, expressed"
bradi3g21317.1|pacid:21831064	1.219475953	48.8162738	0.192926234	6.320944152	2.60E-10	3.15E-09	"GO:0004871,GO:0019001,GO:0007186"	extra-large GTP-binding protein 3	"G-protein alpha subunit, putative, expressed"
bradi3g21480.1|pacid:21829762	1.692941205	129.2928931	0.164916585	10.26543934	1.01E-24	3.70E-23	"GO:0003700,GO:0043565,GO:0006355,GO:0003677,GO:0005634"	homeobox from Arabidopsis thaliana	"homeobox associated leucine zipper, putative, expressed"
bradi3g22050.2|pacid:21829729	1.374641511	750.7147626	0.190903484	7.200714616	5.99E-13	9.52E-12		Wound-responsive family protein	"wound responsive protein, putative, expressed"
bradi3g22070.1|pacid:21828869	1.115386202	21.46161628	0.27304965	4.084920823	4.41E-05	0.000235819		Plant protein of unknown function (DUF247)	"plant protein of unknown function domain containing protein, expressed"
bradi3g22317.1|pacid:21827293	-1.255318242	5.143343887	0.521796104	-2.40576392	0.01613869	0.042329625	"GO:0016491,GO:0055114,GO:0005507"	laccase 7	"laccase-15 precursor, putative, expressed"
bradi3g22560.1|pacid:21827582	1.506490495	54.42984633	0.247020035	6.098657112	1.07E-09	1.20E-08	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 76, subfamily C, polypeptide 1"	"cytochrome P450, putative, expressed"
bradi3g22687.1|pacid:21829989	-1.679837678	7.00892714	0.385234029	-4.360564106	1.30E-05	7.68E-05			expressed protein
bradi3g22707.1|pacid:21829594	-2.53557297	57.91324729	0.271590213	-9.336024807	1.00E-20	2.93E-19			expressed protein
bradi3g22786.1|pacid:21832759	1.487840964	8.541908145	0.371585183	4.004037381	6.23E-05	0.000321339	GO:0003824	cycloartenol synthase 1	"cycloartenol synthase, putative, expressed"
bradi3g22802.1|pacid:21830226	1.571937545	19.92715858	0.307039209	5.119663863	3.06E-07	2.41E-06	GO:0003824	cycloartenol synthase 1	"cycloartenol synthase, putative, expressed"
bradi3g22950.1|pacid:21827594	-1.694927879	790.9892046	0.125159612	-13.54213111	8.82E-42	6.67E-40	GO:0016747	HXXXD-type acyl-transferase family protein	"transferase family protein, putative, expressed"
bradi3g23030.1|pacid:21828463	1.192304516	4.982590775	0.492249657	2.422154082	0.015428807	0.040748086			expressed protein
bradi3g23040.1|pacid:21828135	-1.274666429	332.8582382	0.11312684	-11.26758623	1.90E-29	8.95E-28		Calcium-binding endonuclease/exonuclease/phosphatase family	"endonuclease/exonuclease/phosphatase family domain containing protein, expressed"
bradi3g23066.1|pacid:21830619	-1.004866651	33.49512435	0.341127371	-2.945722733	0.003222011	0.010610313	GO:0016020	nodulin MtN21 /EamA-like transporter family protein	"integral membrane protein DUF6 containing protein, expressed"
bradi3g23180.1|pacid:21831466	-1.282229081	3.888407537	0.51392848	-2.494956267	0.012597266	0.034349375	GO:0005515	jasmonate-zim-domain protein 11	"ZIM domain containing protein, putative, expressed"
bradi3g23190.1|pacid:21827779	-1.557845965	11.25945284	0.518342025	-3.005440212	0.002651967	0.008962429	GO:0005515	jasmonate-zim-domain protein 11	"ZIM domain containing protein, putative, expressed"
bradi3g23210.1|pacid:21830468	2.370133263	32.13940962	0.269749499	8.786423239	1.54E-18	3.92E-17		Plant protein of unknown function (DUF247)	"plant protein of unknown function domain containing protein, expressed"
bradi3g23267.1|pacid:21829863	-1.230228518	124.7047402	0.225673437	-5.45136606	5.00E-08	4.44E-07			expressed protein
bradi3g23350.1|pacid:21832991	-1.059793173	13.86563818	0.330585141	-3.205810067	0.001346829	0.004945441			expressed protein
bradi3g24660.1|pacid:21830040	1.09311884	40.9876014	0.230728849	4.737677334	2.16E-06	1.48E-05			expressed protein
bradi3g24750.1|pacid:21827151	-1.045503482	154.484593	0.103771304	-10.07507323	7.12E-24	2.48E-22	"GO:0030599,GO:0042545,GO:0005618"	pectin methylesterase 31	"pectinesterase, putative, expressed"
bradi3g25626.1|pacid:21833107	1.897173981	1.82469143	0.523838516	3.621677142	0.000292699	0.001282403			
bradi3g26487.1|pacid:21829131	1.489580379	8.537168541	0.397640954	3.746043675	0.000179645	0.000828274			expressed protein
bradi3g26640.1|pacid:21830759	1.222687229	43.41377515	0.244989189	4.990780343	6.01E-07	4.50E-06			expressed protein
bradi3g26655.1|pacid:21829203	-1.100567883	62.40088807	0.169346294	-6.498919206	8.09E-11	1.05E-09	"GO:0016746,GO:0008152,GO:0008415"	glycerol-3-phosphate acyltransferase 6	"glycerol-3-phosphate acyltransferase, putative, expressed"
bradi3g26690.1|pacid:21828746	2.296833926	3.818134292	0.509586629	4.507249197	6.57E-06	4.10E-05	"GO:0003700,GO:0043565,GO:0006355"	BEL1-like homeodomain 6	"homeodomain protein, putative, expressed"
bradi3g26810.1|pacid:21832247	-1.644495024	10.97086241	0.408338954	-4.027279313	5.64E-05	0.00029377	"GO:0004553,GO:0005975"		"chitinase 2, putative, expressed"
bradi3g26920.5|pacid:21833186	-1.694203726	1844.713277	0.142336364	-11.90281723	1.14E-32	6.25E-31		heat shock transcription factor  A6B	"heat stress transcription factor, putative, expressed"
bradi3g26930.4|pacid:21832062	-1.236152817	5139.133897	0.075635226	-16.34361239	4.83E-60	6.26E-58	"GO:0006355,GO:0010309,GO:0055114"	RmlC-like cupins superfamily protein	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase protein, putative, expressed"
bradi3g26950.1|pacid:21832592	1.103853331	14.44980118	0.33052151	3.339732205	0.000838592	0.003263002			expressed protein
bradi3g27020.1|pacid:21827499	1.92596953	3.984526525	0.51608454	3.731887668	0.00019005	0.000872998		DNAse I-like superfamily protein	"type I inositol-1,4,5-trisphosphate 5-phosphatase, putative, expressed"
bradi3g27220.1|pacid:21830150	2.068953793	12.84986597	0.421254699	4.911408225	9.04E-07	6.57E-06	"GO:0055085,GO:0016021"	calcium exchanger 7	"sodium/calcium exchanger protein, putative, expressed"
bradi3g27278.1|pacid:21829566	-1.219704414	121.8120799	0.122906534	-9.923837023	3.28E-23	1.10E-21	"GO:0000287,GO:0016984,GO:0015977,GO:0009536"	ribulose-bisphosphate carboxylases	"ribulose bisphosphate carboxylase large chain precursor, putative, expressed"
bradi3g27420.1|pacid:21827215	1.157259801	3.690656711	0.49429933	2.341212566	0.01922122	0.049121171			"TRM112, putative, expressed"
bradi3g27510.1|pacid:21827763	-1.340978118	23.31575051	0.362624294	-3.697982015	0.00021732	0.000983673			
bradi3g27720.1|pacid:21827274	1.024617048	34.87141265	0.267218098	3.834384934	0.000125879	0.00060373		HR-like lesion-inducing protein-related	"nicotiana lesion-inducing like, putative, expressed"
bradi3g27807.1|pacid:21830097	-1.446115881	64.22739184	0.218517287	-6.617855751	3.64E-11	4.87E-10			
bradi3g27900.1|pacid:21831039	-2.003694643	159.8278654	0.242710001	-8.255509186	1.51E-16	3.31E-15	GO:0008270	CHY-type/CTCHY-type/RING-type Zinc finger protein	"RING finger and CHY zinc finger domain-containing protein 1, putative, expressed"
bradi3g28060.1|pacid:21832364	1.025338744	242.5423478	0.115979121	8.840718351	9.51E-19	2.46E-17	GO:0003676	plastid transcriptionally active 3	"SAP domain containing protein, expressed"
bradi3g28120.3|pacid:21832157	-1.192003288	48.60036243	0.31009952	-3.843937868	0.000121076	0.000584098			expressed protein
bradi3g28210.1|pacid:21828105	-6.047033487	239.5907345	0.453433128	-13.33610872	1.43E-40	1.04E-38	"GO:0016161,GO:0000272"	beta-amylase 1	"beta-amylase, putative, expressed"
bradi3g28257.1|pacid:21827596	1.157165944	46.80410618	0.26294506	4.40078982	1.08E-05	6.48E-05			expressed protein
bradi3g28380.1|pacid:21833311	-1.091470274	12.1460341	0.298877741	-3.651895491	0.000260312	0.001157909	"GO:0004672,GO:0005524,GO:0006468,GO:0005515"	Protein kinase family protein with leucine-rich repeat domain	"receptor-like protein kinase precursor, putative, expressed"
bradi3g28580.1|pacid:21833628	-2.541306718	849.3134167	0.140336049	-18.10872361	2.72E-73	4.86E-71	"GO:0004348,GO:0006665,GO:0016021"	"Beta-glucosidase, GBA2 type family protein"	"non-lysosomal glucosylceramidase, putative, expressed"
bradi3g28677.1|pacid:21830195	1.09132585	19.65881598	0.31119219	3.506919153	0.000453327	0.001902878	"GO:0016614,GO:0050660,GO:0055114,GO:0009055,GO:0016491"	fatty alcohol oxidase 3	"alcohol oxidase, putative, expressed"
bradi3g28747.1|pacid:21829041	1.009576567	23.90636949	0.252642736	3.996064107	6.44E-05	0.000330972		Pentatricopeptide repeat (PPR) superfamily protein	"PPR repeat containing protein, expressed"
bradi3g29130.2|pacid:21828168	1.480037879	5.172829988	0.496640458	2.980099293	0.00288155	0.009632539	"GO:0008762,GO:0016491,GO:0050660,GO:0055114,GO:0019139,GO:0009690"	cytokinin oxidase/dehydrogenase 1	"cytokinin dehydrogenase precursor, putative, expressed"
bradi3g29180.1|pacid:21829546	1.032571917	14.25185046	0.328531915	3.142988153	0.001672326	0.005996233		Pentatricopeptide repeat (PPR-like) superfamily protein	"PPR repeat containing protein, expressed"
bradi3g29190.1|pacid:21833321	1.982857514	4.113722338	0.488867468	4.056022635	4.99E-05	0.000263341	"GO:0003735,GO:0006412,GO:0005622,GO:0005840"	Ribosomal L18p/L5e family protein	"ribosomal L18p/L5e family protein, expressed"
bradi3g29210.3|pacid:21830609	1.289065904	69.77131163	0.203200881	6.343800763	2.24E-10	2.75E-09	"GO:0030170,GO:0009058,GO:0006520,GO:0016740,GO:0016769"	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	"aminotransferase, classes I and II, domain containing protein, expressed"
bradi3g29230.1|pacid:21830373	1.240933879	0.901020167	0.501286485	2.475498375	0.013305037	0.036007528	"GO:0016746,GO:0009058,GO:0004315,GO:0006633,GO:0008415"	Chalcone and stilbene synthase family protein	"stilbene synthase, putative, expressed"
bradi3g29460.1|pacid:21829346	2.002173794	21.93490636	0.303041158	6.606936861	3.92E-11	5.22E-10		GRAM domain-containing protein / ABA-responsive protein-related	"GEM, putative, expressed"
bradi3g29620.1|pacid:21828501	-2.838311693	40.02385083	0.308312983	-9.205942831	3.39E-20	9.54E-19		NDR1/HIN1-like 25	"harpin-induced protein 1 domain containing protein, expressed"
bradi3g29730.1|pacid:21831499	1.162111962	5.506843036	0.459957764	2.526562332	0.011518495	0.031842131	"GO:0005515,GO:0003735,GO:0006412,GO:0005622,GO:0005840"	ubiquitin 6	"40S ribosomal protein S27a, putative, expressed"
bradi3g30110.1|pacid:21828566	-1.232753674	218.1718096	0.100974699	-12.20854016	2.80E-34	1.61E-32		Protein of unknown function (DUF607)	"E2F-related protein, putative, expressed"
bradi3g30260.2|pacid:21831070	-1.597322894	1279.808085	0.125718958	-12.70550537	5.51E-37	3.56E-35		Remorin family protein	"remorin C-terminal domain containing protein, putative, expressed"
bradi3g30320.1|pacid:21828157	-1.621283437	4.463438516	0.443133832	-3.658676721	0.000253521	0.001130238		CAP160 protein	expressed protein
bradi3g30340.1|pacid:21832097	-1.337651843	37.38222418	0.319527666	-4.186341237	2.83E-05	0.000157175	"GO:0046872,GO:0030001"	Copper transport protein family	"heavy metal-associated domain containing protein, expressed"
bradi3g30440.1|pacid:21828039	1.444755876	16.59422994	0.40168737	3.596717206	0.000322259	0.001397088		Tetratricopeptide repeat (TPR)-like superfamily protein	"PPR repeat containing protein, expressed"
bradi3g30730.2|pacid:21833440	-1.310296527	190.0038622	0.272544281	-4.807646389	1.53E-06	1.07E-05		response to low sulfur 2	"UP-9A, putative, expressed"
bradi3g30840.1|pacid:21831681	1.520564987	1.206842267	0.515361055	2.950484852	0.003172756	0.010468986			"DEFL6 - Defensin and Defensin-like DEFL family, expressed"
bradi3g31510.1|pacid:21829676	1.019415044	34.99687985	0.239880638	4.249676227	2.14E-05	0.000121968			"dehydration response related protein, putative, expressed"
bradi3g31550.1|pacid:21831839	1.083990316	182.7349708	0.124705877	8.692375559	3.55E-18	8.72E-17	GO:0005515	ARM repeat superfamily protein	"armadillo, putative, expressed"
bradi3g31590.1|pacid:21831440	1.078592547	527.9744146	0.114376317	9.430208781	4.09E-21	1.23E-19	"GO:0004664,GO:0009094"	prephenate dehydratase 1	"prephenate dehydratase domain containing protein, expressed"
bradi3g31620.1|pacid:21832928	-1.84719049	3.685321669	0.509570788	-3.6249929	0.000288969	0.001268585		peptidoglycan-binding LysM domain-containing protein	"lysM domain containing protein, putative, expressed"
bradi3g31655.1|pacid:21833606	2.404956689	4.20414002	0.488151842	4.926656997	8.36E-07	6.10E-06	"GO:0005515,GO:0003824,GO:0008152"	phospholipase D beta 1	"phospholipase D, putative, expressed"
bradi3g31777.1|pacid:21827625	-1.619534288	112.8252429	0.209787852	-7.719866877	1.16E-14	2.18E-13	GO:0005515	glutathione S-transferase TAU 18	"glutathione S-transferase, putative, expressed"
bradi3g31787.1|pacid:21828848	-2.65047761	72.42777929	0.236321466	-11.21556012	3.42E-29	1.58E-27	GO:0005515	glutathione S-transferase TAU 18	"glutathione S-transferase, N-terminal domain containing protein, expressed"
bradi3g31820.1|pacid:21832267	-1.999938198	180.8250839	0.160983869	-12.42322113	1.96E-35	1.20E-33	GO:0005515	glutathione S-transferase TAU 18	"glutathione S-transferase, N-terminal domain containing protein, expressed"
bradi3g31827.1|pacid:21832138	-2.218716486	230.4020195	0.243227574	-9.12197762	7.38E-20	2.04E-18	GO:0005515	Glutathione S-transferase family protein	"glutathione S-transferase GSTU6, putative, expressed"
bradi3g31834.1|pacid:21830783	-1.655289669	3.285325968	0.522746712	-3.166523349	0.00154273	0.005583852	GO:0005515	Glutathione S-transferase family protein	"glutathione S-transferase, putative, expressed"
bradi3g31850.1|pacid:21830193	-2.355016731	733.342688	0.101760144	-23.14282041	1.72E-118	7.92E-116	GO:0005515	Glutathione S-transferase family protein	"glutathione S-transferase, putative, expressed"
bradi3g31860.1|pacid:21828603	-1.135550897	13.05053587	0.336894386	-3.370643579	0.000749928	0.002967524	GO:0005515	Glutathione S-transferase family protein	"glutathione S-transferase, putative, expressed"
bradi3g31870.1|pacid:21829046	-1.064944424	5.87334478	0.394162519	-2.701790179	0.006896727	0.020507055	GO:0005515	glutathione S-transferase TAU 18	"glutathione S-transferase, putative, expressed"
bradi3g31880.1|pacid:21833079	-1.315314544	16.39196501	0.316921368	-4.150286717	3.32E-05	0.000181465	GO:0005515	glutathione S-transferase TAU 16	"glutathione S-transferase, putative, expressed"
bradi3g31890.1|pacid:21827514	-1.279959961	3.082289154	0.521919908	-2.452406858	0.014190411	0.037952792	"GO:0003700,GO:0043565,GO:0046983,GO:0006355"	Basic-leucine zipper (bZIP) transcription factor family protein	"bZIP family transcription factor, putative, expressed"
bradi3g31920.1|pacid:21832537	1.952896913	12.74615479	0.493232653	3.959382861	7.51E-05	0.00038044	"GO:0046872,GO:0030001"	Heavy metal transport/detoxification superfamily protein 	"heavy metal-associated domain containing protein, expressed"
bradi3g31967.1|pacid:21833106	-1.276108932	4.24055242	0.437494326	-2.916858243	0.003535764	0.011513452	"GO:0004672,GO:0005524,GO:0006468"	Protein kinase superfamily protein	"protein kinase domain containing protein, expressed"
bradi3g32200.1|pacid:21833630	1.031365299	152.0746178	0.165661762	6.225729366	4.79E-10	5.67E-09		plastid movement impaired1	expressed protein
bradi3g32410.1|pacid:21831201	1.518501041	1.266194625	0.515553166	2.945382048	0.003225561	0.010616713			"OsFBX9 - F-box domain containing protein, expressed"
bradi3g32427.1|pacid:21829605	1.213954497	7.014485628	0.419969548	2.89057743	0.003845348	0.012397307	GO:0005515		"OsFBX159 - F-box domain containing protein, expressed"
bradi3g32650.1|pacid:21830330	1.226916814	1.772372975	0.524043527	2.341249821	0.019219302	0.049121171			expressed protein
bradi3g32670.1|pacid:21828120	-1.400581172	44.21181958	0.329732855	-4.247623947	2.16E-05	0.000122949			expressed protein
bradi3g32700.2|pacid:21832047	1.303890335	4.599416351	0.450812243	2.892313493	0.003824162	0.012339037		RING/U-box superfamily protein	"zinc finger, C3HC4 type domain containing protein, expressed"
bradi3g32787.1|pacid:21830558	2.45698857	352.3150897	0.122195489	20.10703166	6.40E-90	1.79E-87		U-box domain-containing protein kinase family protein	"U-box domain containing protein, expressed"
bradi3g32800.1|pacid:21829821	3.77560777	22.21575732	0.426669803	8.849015671	8.83E-19	2.30E-17	"GO:0004672,GO:0005524,GO:0006468,GO:0006950,GO:0004842,GO:0016567,GO:0000151"	U-box domain-containing protein kinase family protein	"protein kinase, putative, expressed"
bradi3g33020.3|pacid:21832533	-2.71215818	103.803507	0.267740743	-10.12979254	4.08E-24	1.44E-22		OSBP(oxysterol binding protein)-related protein 2A	"oxysterol-binding protein, putative, expressed"
bradi3g33030.1|pacid:21830378	-2.212573328	3.890229233	0.508574975	-4.350535199	1.36E-05	8.01E-05	"GO:0005215,GO:0006857,GO:0016020"	nitrate transporter 1.1	"peptide transporter PTR2, putative, expressed"
bradi3g33040.1|pacid:21827982	-1.41534329	3.181439463	0.523484332	-2.70369752	0.006857268	0.020414225	"GO:0005215,GO:0006857,GO:0016020"	nitrate transporter 1.1	"peptide transporter PTR2, putative, expressed"
bradi3g33080.1|pacid:21827069	-1.782155038	346.6872213	0.075906666	-23.47824162	6.81E-122	3.21E-119	GO:0016757	Nucleotide-diphospho-sugar transferases superfamily protein	"glycosyl transferase 8 domain containing protein, putative, expressed"
bradi3g33090.1|pacid:21827854	-1.298825274	454.1257724	0.063368455	-20.49640108	2.32E-93	7.29E-91	"GO:0016788,GO:0006281,GO:0006310,GO:0006974,GO:0005737"	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	"holliday junction resolvase, putative, expressed"
bradi3g33150.1|pacid:21827988	1.534544385	27.54987555	0.41634812	3.685724307	0.000228053	0.001027561		expansin B2	"expansin precursor, putative, expressed"
bradi3g33210.1|pacid:21828934	-1.089133769	73.43866438	0.159083925	-6.846284232	7.58E-12	1.08E-10			expressed protein
bradi3g33217.1|pacid:21830481	-1.116090907	122.8041936	0.185530722	-6.015666288	1.79E-09	1.96E-08	"GO:0004222,GO:0008270,GO:0006508,GO:0031012,GO:0008152"	Matrixin family protein	"metalloendoproteinase 1 precursor, putative, expressed"
bradi3g33287.1|pacid:21832709	1.054426399	16.9348526	0.356583849	2.957022313	0.003106256	0.010275218	"GO:0003735,GO:0006412,GO:0005622,GO:0005840"	Ribosomal L18p/L5e family protein	"ribosomal L18p/L5e family protein, expressed"
bradi3g33300.1|pacid:21827935	-1.021987058	10.46608053	0.391077648	-2.613258678	0.008968339	0.025688072		Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region	expressed protein
bradi3g33410.1|pacid:21831890	-2.294032544	6.913418891	0.467347103	-4.90862686	9.17E-07	6.66E-06	"GO:0003700,GO:0043565,GO:0006355,GO:0003677,GO:0005634,GO:0006351,GO:0016563"	Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein	"homeobox associated leucine zipper, putative, expressed"
bradi3g33580.1|pacid:21828575	-1.867820055	3.383337753	0.516568708	-3.615821139	0.000299397	0.001309144			expressed protein
bradi3g33610.1|pacid:21833465	1.324098243	7.200808644	0.40089302	3.302871779	0.000957001	0.003666871			
bradi3g33650.1|pacid:21830816	-1.436829827	36.26413827	0.195424239	-7.352362397	1.95E-13	3.25E-12	"GO:0003849,GO:0009073"	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	"phospho-2-dehydro-3-deoxyheptonate aldolase, chloroplast precursor, putative, expressed"
bradi3g33722.3|pacid:21830266	-1.63386539	360.5910038	0.143668042	-11.37250407	5.73E-30	2.77E-28	"GO:0004197,GO:0006508"	metacaspase 1	"LOL3, putative, expressed"
bradi3g33730.1|pacid:21833648	-3.94381709	887.3518711	0.165688398	-23.8026146	3.14E-125	1.55E-122	"GO:0016161,GO:0000272"	chloroplast beta-amylase	"beta-amylase, putative, expressed"
bradi3g33870.1|pacid:21829549	-1.329820823	5.729322317	0.473464542	-2.808702038	0.004974166	0.01547527		Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region	expressed protein
bradi3g33930.1|pacid:21831951	-2.042754457	1022.912168	0.189254576	-10.79368594	3.69E-27	1.52E-25	"GO:0000287,GO:0004743,GO:0030955,GO:0006096"	plastidic pyruvate kinase beta subunit 1	"pyruvate kinase, putative, expressed"
bradi3g33990.1|pacid:21831827	1.134788823	71.84301041	0.19997148	5.674753335	1.39E-08	1.34E-07	GO:0005515	plant intracellular ras group-related LRR 4	"leucine rich repeat containing protein, expressed"
bradi3g34097.1|pacid:21830452	-1.34306353	267.4109733	0.114481629	-11.73169482	8.77E-32	4.56E-30		nonsense-mediated mRNA decay NMD3 family protein	"nonsense-mediated mRNA decay protein 3, putative, expressed"
bradi3g34160.1|pacid:21831360	-2.951333611	258.8093358	0.163206787	-18.08339996	4.31E-73	7.62E-71		PLATZ transcription factor family protein	"zinc-binding protein, putative, expressed"
bradi3g34227.1|pacid:21832695	1.422442334	203.6964537	0.138833877	10.24564294	1.24E-24	4.52E-23	"GO:0004553,GO:0005975,GO:0016762,GO:0006073,GO:0005618,GO:0048046"	xyloglucan endotransglucosylase/hydrolase 28	"glycosyl hydrolases family 16, putative, expressed"
bradi3g34490.1|pacid:21829020	1.310310959	20.06088473	0.319348687	4.103072947	4.08E-05	0.000218879	"GO:0016760,GO:0030244,GO:0016020"	cellulose synthase-like D3	"CSLD1 - cellulose synthase-like family D, expressed"
bradi3g34567.1|pacid:21831056	1.134319471	4.562450561	0.477613437	2.374973948	0.017550189	0.045442494	"GO:0003700,GO:0043565,GO:0006355"	WRKY DNA-binding protein 35	"WRKY66, expressed"
bradi3g34830.1|pacid:21832723	-1.094332443	136.3460181	0.101541961	-10.77714504	4.41E-27	1.81E-25	"GO:0008378,GO:0006486,GO:0016020,GO:0016757"	Galactosyltransferase family protein	"galactosyltransferase family protein, putative, expressed"
bradi3g35000.1|pacid:21828650	-1.590224092	102.4397569	0.141607629	-11.22979112	2.91E-29	1.35E-27	"GO:0000166,GO:0046872,GO:0003824,GO:0008152"	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	"phospholipid-transporting ATPase, putative, expressed"
bradi3g35007.1|pacid:21829374	-1.38587874	1.254550465	0.502174614	-2.759754676	0.005784478	0.017641813	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 71, subfamily B, polypeptide 34"	"cytochrome P450, putative, expressed"
bradi3g35100.1|pacid:21832469	-1.145022037	3.929690549	0.463107715	-2.472474544	0.013418127	0.036229491	"GO:0003924,GO:0005525,GO:0007264,GO:0005622"	RAB GTPase homolog A1F	"ras-related protein, putative, expressed"
bradi3g35137.1|pacid:21833202	1.545204392	1.048185754	0.518631506	2.979387821	0.00288825	0.009652335	"GO:0004672,GO:0005524,GO:0006468,GO:0005515"	HAESA-like 1	"receptor-like protein kinase 5 precursor, putative, expressed"
bradi3g35170.1|pacid:21830761	-1.244738233	2.516319109	0.501035005	-2.484333871	0.012979405	0.035231197		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	"harpin-induced protein 1 domain containing protein, expressed"
bradi3g35250.1|pacid:21826800	-1.577530142	13.51901616	0.305574933	-5.162498533	2.44E-07	1.95E-06	"GO:0046872,GO:0030001"	Heavy metal transport/detoxification superfamily protein 	"heavy metal-associated domain containing protein, expressed"
bradi3g35270.1|pacid:21828994	-2.456605039	11.28965615	0.365717835	-6.717214207	1.85E-11	2.55E-10		Protein of unknown function (DUF761)	expressed protein
bradi3g35340.1|pacid:21826902	-1.946656185	134.0996188	0.160559159	-12.12423009	7.86E-34	4.45E-32		homolog of CFIM-25	"cleavage and polyadenylation specificity factor subunit 5, putative, expressed"
bradi3g35690.1|pacid:21830984	-1.501587283	23.90480496	0.410226583	-3.660385121	0.000251836	0.001123739	"GO:0004649,GO:0005975"	poly(ADP-ribose) glycohydrolase 2	expressed protein
bradi3g35726.2|pacid:21829268	1.595184583	23.32932859	0.328022789	4.863029751	1.16E-06	8.25E-06		Uncharacterised protein family (UPF0041)	"UPF0041 domain containing protein, putative, expressed"
bradi3g35820.1|pacid:21829412	-1.04906247	1689.857146	0.122605203	-8.556427021	1.16E-17	2.77E-16	"GO:0003824,GO:0005992"	trehalose phosphate synthase	"trehalose-6-phosphate synthase, putative, expressed"
bradi3g35840.1|pacid:21831482	-1.130671685	18.40946486	0.256878584	-4.401580185	1.07E-05	6.46E-05	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 87, subfamily A, polypeptide 2"	"cytochrome P450, putative, expressed"
bradi3g35850.1|pacid:21828607	-1.424625433	392.1046676	0.12598357	-11.30802562	1.20E-29	5.71E-28	"GO:0003700,GO:0043565,GO:0006355,GO:0003677,GO:0005634"	homeobox 1	"CPuORF27 - conserved peptide uORF-containing transcript, expressed"
bradi3g35980.1|pacid:21827495	1.418447827	24.28527403	0.46508412	3.049873702	0.002289376	0.007889034	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 76, subfamily C, polypeptide 1"	"cytochrome P450, putative, expressed"
